kappa_lo,lambda_margin
-0.4225,0.07056010240936074
-0.422,0.07062592362090268
-0.4215,0.07069173817269053
-0.421,0.07075753972742425
-0.4205,0.07082333799706948
-0.42,0.07088912747340421
-0.4195,0.07095491462717839
-0.419,0.07102068751319704
-0.4185,0.07108646049894185
-0.418,0.07115222445026079
-0.4175,0.07121797974761235
-0.417,0.07128373552601781
-0.4165,0.07134947172681902
-0.416,0.07141520594434753
-0.4155,0.07148093436047705
-0.415,0.07154665457754313
-0.4145,0.07161236851412804
-0.414,0.07167807506376582
-0.4135,0.07174377644219034
-0.413,0.07180947160197115
-0.4125,0.07187515708554813
-0.412,0.07194083103425593
-0.4115,0.07200650568120076
-0.411,0.0720721707422249
-0.4105,0.07213783125093465
-0.41,0.07220347905600231
-0.4095,0.0722691215345801
-0.409,0.07233476009994837
-0.4085,0.07240038710425745
-0.408,0.07246600785066651
-0.4075,0.07253162741026915
-0.407,0.07259722939299865
-0.4065,0.07266283420129116
-0.406,0.07272842258163492
-0.4055,0.07279401128667054
-0.405,0.0728595917582032
-0.4045,0.0729251652965513
-0.404,0.07299072414554923
-0.4035,0.07305629237800391
-0.403,0.0731218365634356
-0.4025,0.07318738290284438
-0.402,0.07325291375252707
-0.4015,0.07331844440519808
-0.401,0.07338396954980488
-0.4005,0.07344948156746355
-0.4,0.07351498814310939
-0.3995,0.07358049185272683
-0.399,0.07364598505365753
-0.3985,0.07371147144627413
-0.398,0.0737769455831706
-0.3975,0.07384241902857967
-0.397,0.07390788024887228
-0.3965,0.07397333751499809
-0.396,0.07403878951274263
-0.3955,0.07410423465844251
-0.395,0.07416966745609306
-0.3945,0.07423509737681498
-0.394,0.07430051437485735
-0.3935,0.07436592568980215
-0.393,0.07443133271638482
-0.3925,0.0744967310958319
-0.392,0.07456212965415879
-0.3915,0.07462750757617066
-0.391,0.07469288815101609
-0.3905,0.07475826054915936
-0.39,0.07482361511673104
-0.3895,0.07488897840540161
-0.389,0.0749543218896175
-0.3885,0.07501965607726417
-0.388,0.07508499807482423
-0.3875,0.07515031500438071
-0.387,0.07521564382400805
-0.3865,0.075280948791869
-0.386,0.0753462562678695
-0.3855,0.07541155518323132
-0.385,0.07547683968448372
