kappa,alpha,q,psi,gamma,kb,ElogPsi,PRprime,amp_works,lambda0,z0,fp_iters,newton_iters,dG_dq,dG_dpsi,alpha_annealed,alpha_sph,seconds
0.5,0.455664564542436636756989,0.6384133319958416389018181,4.083228087494814472267559,1.328754564025467898905399,0.8315029602200029554944584,-2.253189713409861880960981,0.8097276565381737960245824,0.4894806290699015938902641,-0.2708555128751563748265013,-0.7903907942942341637859727,9,6,-1.469253435974134487579344e-19,-1.972152263052529513529321e-21,0.5894550962060101337912833,0.9612050528015417565332793,81.1
0.55,0.4310349346063488220510872,0.6451054076952033907909982,4.267395301983756620590617,1.348235164920573278963164,0.9232365694275452832958551,-2.41434388882502549526518,0.8156342865216680914486367,0.4838091560803599696113332,-0.2795392925759402792621194,-0.8007624950318118042247306,9,6,-1.587582571757286258391104e-19,-9.860761315262647567646607e-22,0.5617606774500494115843619,0.8993746958950463572667978,78.6
0.6,0.408067455101859409926788,0.6516704836592001936023115,4.458560255894183922696854,1.367788307993376094505475,1.016614060484123817082448,-2.585320727748793296799759,0.8214062876179691613387569,0.4781340436873246590989681,-0.2882916664638047345490408,-0.8107430448213866416296014,9,6,-1.735493991486225971905803e-19,0.0,0.5357850648172499127743819,0.8424951013596063007839651,63.7
0.65,0.386632103925558957148781,0.6581108806740533504751934,4.656975225330605726850326,1.387416630070048107858894,1.111656769209524214637063,-2.766607207875261947385614,0.8270433099372343621917961,0.4724615256862110568429291,-0.2970974951263606159474201,-0.8203240815051935488355639,9,6,-1.883405411215165685420502e-19,-9.860761315262647567646607e-22,0.5113996583880629274857348,0.7901103835415916510200879,62.8
0.7,0.3666102443979288374703674,0.6644288553374130726124152,4.86290032676552502658679,1.407122598407976546110583,1.208386140025490222511728,-2.958708089667884964269333,0.8325452398329918627732374,0.4667975140743495439885969,-0.3059417732066726282712481,-0.8295004352172463111259049,9,6,-2.051038353574630694070494e-19,9.860761315262647567646607e-22,0.4884869123536761321914562,0.7418111954267257021424113,56.8
0.75,0.3478935313275680135368187,0.6706266019401368207708732,5.076603586557257199902439,1.426908510408018741414762,1.306823703528747751150872,-3.16214624201348967228961,0.8379121887614957813663688,0.4611476123583315507206891,-0.3148097350190565689051942,-0.8382699763270739463649761,9,6,-2.228532057249358350288133e-19,0.0,0.4669392752062905839442983,0.6972295686148086094478312,61.6
0.8,0.3303829308890799853525196,0.6767062545462220065508016,5.298360999275018180851007,1.446776493400461626457606,1.406991052561432257622103,-3.377462956408145868732732,0.843144482105864707219486,0.4555171277237074810671655,-0.3236869534532935244396706,-0.8466334200018972264700778,9,6,-2.415886522239348654073419e-19,-9.860761315262647567646607e-22,0.4466582410244891077533184,0.6560343664408046086331503,55.8
0.85,0.3139878416145730739666533,0.6826698892256078765306044,5.528456574027061733649235,1.466728504517378675377934,1.508909816907172046973643,-3.605218248464862033036633,0.8482426480116642221506614,0.4499110821787327658624058,-0.3325594305093217497463787,-0.8545940954298769707264682,9,6,-2.613101748544601605426351e-19,-9.860761315262647567646607e-22,0.4275534993013722043255186,0.6179272729150353987400211,49.0
0.9,0.2986253053077820776959259,0.6885195264008807285522283,5.767182368028872678956674,1.486766330667174093489694,1.612601636742466417135727,-3.845991145529183421279024,0.8532074062734607701053654,0.4443342227759048908352727,-0.3414136781571790990280773,-0.862157688447473864457038,9,6,-2.830038497480379851914576e-19,0.0,0.4095421722755929139043344,0.582639250429404621608914,77.9
0.95,0.2842192980089960018366972,0.6942571332743067389070037,6.014838506699209033159851,1.506891588629539043808281,1.718088134975594455095377,-4.10037995919517375332688,0.8580396573060154626268759,0.4387910310077647531599519,-0.3502367885911884273812819,-0.8693319665211638511692627,9,6,-3.066696769046683393538095e-19,-9.860761315262647567646607e-22,0.3925481300451245537408763,0.5499274080208348684345204,40.5
1.0,0.2707000922934616513947868,0.6998846263062158602607841,6.271733189632435609307394,1.527105725290877486675725,1.825390888608841767995651,-4.369002541531867587129054,0.8627404712289843667524988,0.4332857314667804688608616,-0.3590164933226074863653644,-0.8761264947852301450126333,9,6,-3.332937324558774877864553e-19,0.0,0.3765013748963595627677544,0.519572229604937969487656,49.4
1.05,0.2580036831974041405791884,0.7054038737196874655667617,6.538182681866273726336351,1.547410018041537586163371,1.934531399264090808851985,-4.652496523859877309370552,0.8673110770900624357176173,0.4278222998530208030560883,-0.3677412109127248968121234,-0.8825523512011101647800615,9,6,-3.599177880070866362191012e-19,-1.972152263052529513529321e-21,0.3613374872891641855023603,0.4913751181685901656597621,70.8
1.1,0.2460712709529434453305376,0.7108166980098460665465479,6.81451128994481991391358,1.5678055753569468424695,2.045531063016544811434509,-4.95151953696009836386518,0.8717528522482959590192498,0.4224044704076900440517095,-0.3764000834734250188797902,-0.8886218479693607381619813,9,6,-3.914722242159271084355703e-19,9.860761315262647567646607e-22,0.3469971268209152457727359,0.4651562175893770408937667,275.2
1.15,0.2348487944921083759597695,0.7161248784389516625187972,7.101051322367300823854228,1.588293337585026203058586,2.158411139686310715580223,-5.266749411651901810104721,0.876067311936661780899737,0.417035742845370213774268,-0.3849830023432877504355648,-0.8943482651896441506522706,9,6,-4.230266604247675806520394e-19,0.0,0.3334255822657942715767416,0.440752478660337296016084,270.9
1.2,0.2242865103647781712349603,0.7213301535009399247281506,7.398143034113182194333656,1.608874077962076348526859,2.273192721742523683629151,-5.598884358747183066174848,0.8802560990208595201038808,0.4117193888529372312134726,-0.393480623577289874289472,-0.8997456015251871743743095,9,6,-4.585254011597131118955672e-19,-9.860761315262647567646607e-22,0.3205723654639227887852338,0.4180159401487347122953508,228.3
1.25,0.2143386123177577707702236,0.7264342233411977433442726,7.706134555043384151624762,1.629548403878710836517077,2.389896702979432020528477,-5.948643127469299276236744,0.8843209739694918624145811,0.4064584582185263492205298,-0.4018843740641616884335839,-0.904828345373072211899057,9,6,-4.96982370289237437409389e-19,0.0,0.3083908444305655364958314,0.3968121994004170201185054,115.0
1.3,0.2049628873127406480434492,0.7314387521192057490340354,8.025381802094708841859411,1.650316758416376851841506,2.508543747128161037352384,-6.316765141522203365815295,0.8882638050493386145770611,0.4012557846495648283684803,-0.4101864492080392586937431,-0.909611268843370668335524,9,6,-5.364254155502880276799754e-19,-1.972152263052529513529321e-21,0.2968379115792185037649096,0.3770190501958330842825599,75.9
1.35,0.196120404228669331476458,0.7363453703032894176181691,8.356248375309177982497992,1.671179422173575725009916,2.629154256571531168305125,-6.704010612104658201333767,0.892086558758196023540606,0.3961139913347174151779567,-0.418379803183732769143888,-0.9141092457626896194966548,9,6,-5.807988414689699417343852e-19,0.0,0.2858736834131214948257405,0.3585252683376414278022019,74.9
1.4,0.1877752319068100740260739,0.741155676888135515515971,8.699105437870609517395274,1.692136515399093857275653,2.751748341332124087275053,-7.111160627286721399998537,0.8957912905066979701153038,0.3910354963005591812083933,-0.4264581328032805378860777,-0.9183370939780111985584199,9,6,-6.281304957822306500590889e-19,0.0,0.2754612284455486745309384,0.3412295278609597965688681,76.1
1.45,0.1798941835615269199016072,0.7458712415269861508330976,9.054331580456025832154719,1.713188000447403892597948,2.876345788505588865392667,-7.539017217299896493596284,0.899380135559613279004645,0.3860225176098627624995975,-0.4344158560223364991016216,-0.9223094414622020824623405,9,6,-6.784203784900701526540866e-19,0.0,0.2655663204670373665801208,0.3250394328552840304164185,91.3
1.5,0.1724465849021962652302536,0.7504936065715484684950623,9.422312670347774508406927,1.734333684568922341539611,3.002966032311792898251537,-7.988403395437345466953806,0.9028553002462846584350918,0.3810770784445310254027176,-0.4422480860757727023126954,-0.9260406151189892351993649,9,6,-7.316684895924884495193782e-19,-9.860761315262647567646607e-22,0.2561572145935075352380226,0.3098706517144865858382096,94.4
0.075,0.7565743982054611747205071,0.5760478748190156319715773,2.767783911391069155446016,1.165657281848116188138282,0.1151868375958431915502298,-1.218026471335399874935488,0.7542420020977800161525569,0.5365128264192177563953099,-0.201894269626073169268003,-0.6889483160996507979945136,9,4,-7.14905195356541948654379e-20,-4.930380657631323783823304e-22,0.9183260636776410297907955,1.777114550583080498695193,126.4
0.13,0.7059325315101112183159766,0.5847018482132796926261841,2.915246412522431198964991,1.186553252520067764470219,0.201726685631858294573256,-1.322816936589695309764626,0.7619344601820019552838125,0.5306385329830945844939209,-0.2101716094869137040157275,-0.7031295681821097414143651,9,2,-7.937912858786431291955519e-20,-4.930380657631323783823304e-22,0.8639177357514511168872654,1.632741282413336947225303,48.3
0.19,0.6553861168394993792370395,0.5939368572003174459977756,3.083265099587614735918816,1.209409435378026265039951,0.2981651047389154256368301,-1.445963143282939043862299,0.770159240895434501154758,0.5241325292987652497964811,-0.2194576782323494265410211,-0.718328905537836385875039,9,2,-8.677469957431129859529014e-20,-4.930380657631323783823304e-22,0.8092982967597453714095858,1.491294109557166856550434,33.8
