kappa,alpha,gap
0.0,0.4,0.53592
0.0,0.4,0.42255
0.0,0.4,0.14272
0.0,0.4,0.0087
0.0,0.4,0.90381
0.0,0.4,0.13453
0.0,0.4,1.18257
0.0,0.4,0.05491
0.0,0.4,0.77732
0.0,0.4,0.84478
0.0,0.4,0.14006
0.0,0.4,2.44344
0.0,0.4,0.14456
0.0,0.4,0.98718
0.0,0.4,0.89336
0.0,0.4,2.19787
0.0,0.4,1.67424
0.0,0.4,0.77123
0.0,0.4,1.03233
0.0,0.4,0.09329
0.0,0.4,0.07405
0.0,0.4,0.51139
0.0,0.4,1.49651
0.0,0.4,0.27483
0.0,0.4,0.13781
0.0,0.4,1.60214
0.0,0.4,1.50766
0.0,0.4,1.44252
0.0,0.4,1.78031
0.0,0.4,0.25579
0.0,0.4,0.05917
0.0,0.4,0.01805
0.0,0.4,1.42462
0.0,0.4,0.68819
0.0,0.4,1.38448
0.0,0.4,1.18456
0.0,0.4,0.00564
0.0,0.4,1.68511
0.0,0.4,0.52908
0.0,0.4,0.65914
0.0,0.4,1.24576
0.0,0.4,0.12685
0.0,0.4,0.51107
0.0,0.4,0.46948
0.0,0.5,2.07281
0.0,0.5,0.52938
0.0,0.5,0.34875
0.0,0.5,0.42798
0.0,0.5,2.6198
0.0,0.5,0.09373
0.0,0.5,0.88888
0.0,0.5,0.85175
0.0,0.5,0.35081
0.0,0.5,0.22777
0.0,0.5,1.51231
0.0,0.5,0.65668
0.0,0.5,1.39902
0.0,0.5,0.29605
0.0,0.5,0.11678
0.0,0.5,0.43986
0.0,0.5,0.26227
0.0,0.5,0.09359
0.0,0.5,0.2615
0.0,0.5,0.45567
0.0,0.5,0.05593
0.0,0.5,0.13971
0.0,0.5,0.2872
0.0,0.5,0.7416
0.0,0.5,1.26239
0.0,0.5,0.27594
0.0,0.5,0.68918
0.0,0.5,0.86478
0.0,0.5,0.49683
0.0,0.5,0.43196
0.0,0.5,0.13355
0.0,0.5,0.11705
0.0,0.5,0.05175
0.0,0.5,0.16699
0.0,0.5,0.04827
0.0,0.5,0.87716
0.0,0.5,0.33529
0.0,0.5,0.33635
0.0,0.5,0.78539
0.0,0.5,0.44429
0.0,0.5,0.35866
0.0,0.5,0.01498
0.0,0.5,0.15481
0.0,0.5,0.12896
0.0,0.5,0.21887
0.0,0.5,0.34777
0.0,0.5,1.04925
0.0,0.5,1.26814
0.0,0.5,1.83904
0.0,0.5,0.272
0.0,0.5,0.58596
0.0,0.5,0.33602
0.0,0.5,0.07971
0.0,0.5,0.86128
0.0,0.5,0.897
0.0,0.5,0.29561
0.0,0.5,0.11687
0.0,0.5,0.91005
0.0,0.5,1.34821
0.0,0.5,0.30655
0.0,0.5,1.84631
0.0,0.5,0.59657
0.0,0.5,0.57681
0.0,0.5,0.59426
0.0,0.5,0.71194
0.0,0.5,0.20987
0.0,0.5,1.09903
0.0,0.5,0.0603
0.0,0.5,0.13126
0.0,0.5,0.80248
0.0,0.5,0.54501
0.0,0.5,0.23033
0.0,0.5,1.22076
0.0,0.5,0.51501
0.0,0.5,1.09499
0.0,0.5,0.62637
0.0,0.5,0.26136
0.0,0.5,1.78411
0.0,0.5,1.23646
0.0,0.5,0.5383
0.0,0.5,0.37067
0.0,0.5,0.26569
0.0,0.5,0.44798
0.0,0.5,0.08486
0.0,0.5,0.00202
0.0,0.5,0.89394
0.0,0.5,0.61557
0.0,0.5,0.85287
0.0,0.5,0.43178
0.0,0.5,0.05175
0.0,0.5,1.26877
0.0,0.5,0.57226
0.0,0.5,0.95679
0.0,0.5,0.31831
0.0,0.5,0.3112
0.0,0.5,0.19804
0.0,0.5,0.92435
0.0,0.5,0.64041
0.0,0.5,1.97854
0.0,0.5,1.41924
0.0,0.5,0.00236
0.0,0.5,0.13125
