kappa=-0.2120 alpha=1.10700523604 q=0.5278064477 psi=2.090766952
kappa=-0.2125 alpha=1.107771665 q=0.5277176864 psi=2.089712215
kappa=-0.2130 alpha=1.10853874001 q=0.527628908 psi=2.088657881
kappa=-0.2135 alpha=1.10930646168 q=0.5275401127 psi=2.087603953
kappa=-0.2140 alpha=1.11007483064 q=0.5274513003 psi=2.086550428
kappa=-0.2145 alpha=1.11084384753 q=0.5273624709 psi=2.085497308
kappa=-0.2150 alpha=1.11161351296 q=0.5272736246 psi=2.084444592
kappa=-0.2155 alpha=1.11238382758 q=0.5271847611 psi=2.08339228
kappa=-0.2160 alpha=1.113154792 q=0.5270958807 psi=2.082340371
kappa=-0.2165 alpha=1.11392640685 q=0.5270069833 psi=2.081288867
kappa=-0.2170 alpha=1.11469867278 q=0.5269180688 psi=2.080237765
kappa=-0.2175 alpha=1.1154715904 q=0.5268291373 psi=2.079187067
kappa=-0.2180 alpha=1.11624516036 q=0.5267401887 psi=2.078136773
kappa=-0.2185 alpha=1.11701938327 q=0.5266512232 psi=2.077086881
kappa=-0.2190 alpha=1.11779425979 q=0.5265622406 psi=2.076037392
kappa=-0.2195 alpha=1.11856979054 q=0.5264732409 psi=2.074988306
kappa=-0.2200 alpha=1.11934597615 q=0.5263842242 psi=2.073939623
kappa=-0.2205 alpha=1.12012281727 q=0.5262951905 psi=2.072891342
kappa=-0.2210 alpha=1.12090031452 q=0.5262061397 psi=2.071843464
kappa=-0.2215 alpha=1.12167846855 q=0.5261170718 psi=2.070795987
kappa=-0.2220 alpha=1.12245727999 q=0.5260279869 psi=2.069748913
kappa=-0.2225 alpha=1.12323674948 q=0.5259388849 psi=2.068702241
kappa=-0.2230 alpha=1.12401687766 q=0.5258497659 psi=2.06765597
kappa=-0.2235 alpha=1.12479766518 q=0.5257606298 psi=2.066610101
kappa=-0.2240 alpha=1.12557911266 q=0.5256714766 psi=2.065564634
kappa=-0.2245 alpha=1.12636122075 q=0.5255823064 psi=2.064519568
kappa=-0.2250 alpha=1.1271439901 q=0.5254931191 psi=2.063474903
kappa=-0.2255 alpha=1.12792742134 q=0.5254039147 psi=2.062430639
kappa=-0.2260 alpha=1.12871151512 q=0.5253146932 psi=2.061386776
kappa=-0.2265 alpha=1.12949627208 q=0.5252254546 psi=2.060343314
kappa=-0.2270 alpha=1.13028169287 q=0.525136199 psi=2.059300253
kappa=-0.2275 alpha=1.13106777813 q=0.5250469262 psi=2.058257592
kappa=-0.2280 alpha=1.13185452851 q=0.5249576364 psi=2.057215331
kappa=-0.2285 alpha=1.13264194465 q=0.5248683295 psi=2.056173471
kappa=-0.2290 alpha=1.13343002721 q=0.5247790054 psi=2.055132011
kappa=-0.2295 alpha=1.13421877683 q=0.5246896643 psi=2.05409095
kappa=-0.2300 alpha=1.13500819415 q=0.5246003061 psi=2.05305029
kappa=-0.2305 alpha=1.13579827983 q=0.5245109307 psi=2.052010029
kappa=-0.2310 alpha=1.13658903453 q=0.5244215382 psi=2.050970167
kappa=-0.2315 alpha=1.13738045888 q=0.5243321287 psi=2.049930705
kappa=-0.2320 alpha=1.13817255354 q=0.524242702 psi=2.048891642
kappa=-0.2325 alpha=1.13896531917 q=0.5241532581 psi=2.047852979
kappa=-0.2330 alpha=1.13975875641 q=0.5240637972 psi=2.046814714
kappa=-0.2335 alpha=1.14055286592 q=0.5239743191 psi=2.045776848
kappa=-0.2340 alpha=1.14134764836 q=0.5238848239 psi=2.04473938
kappa=-0.2345 alpha=1.14214310438 q=0.5237953116 psi=2.043702312
kappa=-0.2350 alpha=1.14293923463 q=0.5237057821 psi=2.042665641
kappa=-0.2355 alpha=1.14373603977 q=0.5236162355 psi=2.041629369
kappa=-0.2360 alpha=1.14453352047 q=0.5235266717 psi=2.040593495
kappa=-0.2365 alpha=1.14533167737 q=0.5234370908 psi=2.039558019
kappa=-0.2370 alpha=1.14613051114 q=0.5233474928 psi=2.03852294
kappa=-0.2375 alpha=1.14693002243 q=0.5232578775 psi=2.03748826
kappa=-0.2380 alpha=1.14773021191 q=0.5231682452 psi=2.036453977
kappa=-0.2385 alpha=1.14853108023 q=0.5230785957 psi=2.035420091
kappa=-0.2390 alpha=1.14933262807 q=0.522988929 psi=2.034386602
kappa=-0.2395 alpha=1.15013485607 q=0.5228992451 psi=2.033353511
kappa=-0.2400 alpha=1.15093776491 q=0.5228095441 psi=2.032320816
kappa=-0.2405 alpha=1.15174135525 q=0.5227198259 psi=2.031288519
kappa=-0.2410 alpha=1.15254562774 q=0.5226300905 psi=2.030256618
kappa=-0.2415 alpha=1.15335058307 q=0.522540338 psi=2.029225114
kappa=-0.2420 alpha=1.15415622189 q=0.5224505683 psi=2.028194006
kappa=-0.2425 alpha=1.15496254486 q=0.5223607814 psi=2.027163294
kappa=-0.2430 alpha=1.15576955267 q=0.5222709773 psi=2.026132979
kappa=-0.2435 alpha=1.15657724597 q=0.522181156 psi=2.025103059
kappa=-0.2440 alpha=1.15738562543 q=0.5220913175 psi=2.024073535
kappa=-0.2445 alpha=1.15819469173 q=0.5220014619 psi=2.023044407
kappa=-0.2450 alpha=1.15900444553 q=0.521911589 psi=2.022015675
kappa=-0.2455 alpha=1.1598148875 q=0.5218216989 psi=2.020987338
kappa=-0.2460 alpha=1.16062601832 q=0.5217317917 psi=2.019959396
kappa=-0.2465 alpha=1.16143783867 q=0.5216418672 psi=2.01893185
kappa=-0.2470 alpha=1.1622503492 q=0.5215519255 psi=2.017904698
kappa=-0.2475 alpha=1.1630635506 q=0.5214619666 psi=2.016877941
kappa=-0.2480 alpha=1.16387744354 q=0.5213719904 psi=2.01585158
kappa=-0.2485 alpha=1.1646920287 q=0.5212819971 psi=2.014825612
kappa=-0.2490 alpha=1.16550730675 q=0.5211919865 psi=2.013800039
kappa=-0.2495 alpha=1.16632327837 q=0.5211019587 psi=2.012774861
kappa=-0.2500 alpha=1.16713994423 q=0.5210119137 psi=2.011750076
wrote 200 slabs -> slabs_neg3b_full.json
