kappa,alpha,gap
0.0,0.4,0.57886
0.0,0.4,0.31585
0.0,0.4,0.41523
0.0,0.4,0.38956
0.0,0.4,0.37698
0.0,0.4,0.20832
0.0,0.4,0.86852
0.0,0.4,1.3008
0.0,0.4,0.33509
0.0,0.4,0.9024
0.0,0.4,1.60381
0.0,0.4,0.21394
0.0,0.4,0.56831
0.0,0.4,1.47683
0.0,0.4,0.40214
0.0,0.4,1.19244
0.0,0.4,0.23704
0.0,0.4,0.21272
0.0,0.4,1.06659
0.0,0.4,1.11073
0.0,0.4,0.91237
0.0,0.4,1.23621
0.0,0.4,1.15765
0.0,0.4,0.60017
0.0,0.4,0.21978
0.0,0.4,0.15151
0.0,0.4,0.88466
0.0,0.4,0.27674
0.0,0.4,1.11448
0.0,0.4,0.23866
0.0,0.4,1.98421
0.0,0.4,0.56727
0.0,0.4,0.8809
0.0,0.4,1.40155
0.0,0.4,0.4894
0.0,0.4,0.77511
0.0,0.4,1.38179
0.0,0.4,0.18586
0.0,0.4,1.10558
0.0,0.4,0.33146
0.0,0.4,0.50644
0.0,0.4,0.73665
0.0,0.4,0.98825
0.0,0.4,1.52379
0.0,0.4,0.32756
0.0,0.4,0.62477
0.0,0.4,1.26554
0.0,0.4,0.19413
0.0,0.4,1.03915
0.0,0.4,0.02244
0.0,0.4,0.10199
0.0,0.4,0.14335
0.0,0.4,0.17936
0.0,0.4,2.2214
0.0,0.4,0.42388
0.0,0.4,0.55506
0.0,0.4,0.09335
0.0,0.4,1.1036
0.0,0.4,1.7123
0.0,0.4,0.10136
0.0,0.4,1.1501
0.0,0.4,1.34507
0.0,0.4,0.22085
0.0,0.4,0.16185
0.0,0.4,0.31294
0.0,0.4,1.13767
0.0,0.4,0.72103
0.0,0.4,0.36736
0.0,0.4,0.19292
0.0,0.4,0.0247
0.0,0.4,1.16973
0.0,0.4,0.57892
0.0,0.4,2.02291
0.0,0.4,0.13072
0.0,0.4,0.31403
0.0,0.4,1.13074
0.0,0.4,2.2415
0.0,0.4,1.45632
0.0,0.4,1.52282
0.0,0.4,0.07581
0.0,0.4,1.82113
0.0,0.4,0.15274
0.0,0.4,1.0486
0.0,0.4,1.23082
0.0,0.4,1.27941
0.0,0.4,0.32193
0.0,0.4,0.56377
0.0,0.4,0.18838
0.0,0.4,1.30985
0.0,0.4,0.02768
0.0,0.4,0.08486
0.0,0.4,2.10112
0.0,0.4,0.61715
0.0,0.4,1.9606
0.0,0.4,0.09622
0.0,0.4,0.42251
0.0,0.4,1.19713
0.0,0.4,0.17885
0.0,0.4,2.32788
0.0,0.4,0.50379
0.0,0.4,1.33835
0.0,0.4,0.10685
0.0,0.5,0.33568
0.0,0.5,0.9992
0.0,0.5,0.75555
0.0,0.5,1.7715
0.0,0.5,0.51586
0.0,0.5,0.45544
0.0,0.5,1.5159
0.0,0.5,0.21791
0.0,0.5,0.73467
0.0,0.5,0.29372
0.0,0.5,0.3315
0.0,0.5,0.27851
0.0,0.5,0.57003
0.0,0.5,0.26614
0.0,0.5,0.04305
0.0,0.5,0.32232
0.0,0.5,1.08894
0.0,0.5,0.2489
0.0,0.5,1.12199
0.0,0.5,0.12152
0.0,0.5,1.21434
0.0,0.5,0.55532
0.0,0.5,0.62894
0.0,0.5,1.06178
0.0,0.5,0.58716
0.0,0.5,0.64851
0.0,0.5,0.18353
0.0,0.5,0.1774
0.0,0.5,0.90223
0.0,0.5,0.08306
0.0,0.5,1.96947
0.0,0.5,0.03442
0.0,0.5,0.98947
0.0,0.5,1.12059
0.0,0.5,0.28191
0.0,0.5,0.82675
0.0,0.5,0.58262
0.0,0.5,0.26386
0.0,0.5,0.18399
0.0,0.5,1.3517
0.0,0.5,0.30244
0.0,0.5,0.77466
0.0,0.5,1.1113
0.0,0.5,0.95555
0.0,0.5,1.04833
0.0,0.5,0.66668
0.0,0.5,0.49711
0.0,0.5,0.01353
0.0,0.5,0.44285
0.0,0.5,0.38051
0.0,0.5,1.23432
0.0,0.5,0.26649
0.0,0.5,1.14021
0.0,0.5,0.27547
0.0,0.5,0.98981
0.0,0.5,0.00967
0.0,0.5,0.82729
0.0,0.5,0.52507
0.0,0.5,0.11415
0.0,0.5,0.48937
0.0,0.5,0.4583
0.0,0.5,0.64962
0.0,0.5,0.37038
0.0,0.5,0.94192
0.0,0.5,0.63872
0.0,0.5,0.95426
0.0,0.5,0.15295
0.0,0.5,0.042
0.0,0.5,1.20135
0.0,0.5,0.39323
0.0,0.5,0.17104
0.0,0.5,0.57489
0.0,0.5,0.50056
0.0,0.5,0.40215
0.0,0.5,0.34264
0.0,0.5,0.83369
0.0,0.5,0.13644
0.0,0.5,0.87419
0.0,0.5,0.60865
0.0,0.5,1.21691
0.0,0.5,0.13758
0.0,0.5,1.67337
0.0,0.5,1.33873
0.0,0.5,0.82275
0.0,0.5,0.1026
0.0,0.5,0.91687
0.0,0.5,0.48846
0.0,0.5,0.1882
0.0,0.5,0.8134
0.0,0.5,0.16228
0.0,0.5,2.07845
0.0,0.5,1.06549
0.0,0.5,0.07655
0.0,0.5,0.97343
0.0,0.5,0.19628
0.0,0.5,1.82676
0.0,0.5,0.6493
0.0,0.5,2.70845
0.0,0.5,2.5841
0.0,0.5,0.61521
0.0,0.5,0.03758
0.0,0.5,0.3505
0.0,0.5,0.4984
0.0,0.5,0.58895
0.0,0.5,0.10971
0.0,0.5,0.80151
0.0,0.5,1.03005
0.0,0.5,0.75092
0.0,0.5,0.75968
0.0,0.5,0.37565
0.0,0.5,0.93832
0.0,0.5,1.00087
0.0,0.5,0.0956
0.0,0.5,1.00339
0.0,0.5,1.74429
0.0,0.5,0.53647
0.0,0.5,0.60115
0.0,0.5,0.12096
0.0,0.5,0.56434
0.0,0.5,0.13689
0.0,0.5,0.40067
0.0,0.5,0.43092
0.0,0.5,0.15599
0.0,0.5,0.21046
0.0,0.5,0.46008
0.0,0.5,1.11577
0.0,0.5,0.58196
0.0,0.5,0.38639
0.0,0.5,0.16733
0.0,0.5,0.84426
0.0,0.5,0.18119
0.0,0.5,0.63637
0.0,0.5,0.88596
0.0,0.5,0.08966
0.0,0.5,0.15167
0.0,0.5,0.26783
0.0,0.5,0.00116
0.0,0.5,0.41675
0.0,0.5,0.28478
