kappa=-0.4180 alpha=1.48560229781 q=0.4897621259 psi=1.688881556
kappa=-0.4185 alpha=1.48669680551 q=0.4896661045 psi=1.687982042
kappa=-0.4190 alpha=1.48779228528 q=0.4895700649 psi=1.687082878
kappa=-0.4195 alpha=1.48888873813 q=0.4894740071 psi=1.686184064
kappa=-0.4200 alpha=1.48998616503 q=0.489377931 psi=1.685285601
kappa=-0.4205 alpha=1.49108456697 q=0.4892818367 psi=1.684387487
kappa=-0.4210 alpha=1.49218394495 q=0.4891857242 psi=1.683489723
kappa=-0.4215 alpha=1.49328429996 q=0.4890895935 psi=1.682592309
kappa=-0.4220 alpha=1.49438563299 q=0.4889934445 psi=1.681695245
kappa=-0.4225 alpha=1.49548794503 q=0.4888972773 psi=1.68079853
kappa=-0.4230 alpha=1.49659123709 q=0.4888010919 psi=1.679902165
kappa=-0.4235 alpha=1.49769551016 q=0.4887048882 psi=1.679006148
kappa=-0.4240 alpha=1.49880076523 q=0.4886086662 psi=1.678110481
kappa=-0.4245 alpha=1.49990700331 q=0.488512426 psi=1.677215163
kappa=-0.4250 alpha=1.50101422539 q=0.4884161676 psi=1.676320194
kappa=-0.4255 alpha=1.50212243248 q=0.4883198909 psi=1.675425573
kappa=-0.4260 alpha=1.50323162558 q=0.4882235959 psi=1.674531301
kappa=-0.4265 alpha=1.50434180569 q=0.4881272827 psi=1.673637378
kappa=-0.4270 alpha=1.50545297382 q=0.4880309512 psi=1.672743803
kappa=-0.4275 alpha=1.50656513097 q=0.4879346015 psi=1.671850576
kappa=-0.4280 alpha=1.50767827816 q=0.4878382334 psi=1.670957698
kappa=-0.4285 alpha=1.50879241638 q=0.4877418471 psi=1.670065167
kappa=-0.4290 alpha=1.50990754665 q=0.4876454426 psi=1.669172985
kappa=-0.4295 alpha=1.51102366997 q=0.4875490197 psi=1.66828115
kappa=-0.4300 alpha=1.51214078737 q=0.4874525786 psi=1.667389663
kappa=-0.4305 alpha=1.51325889984 q=0.4873561192 psi=1.666498524
kappa=-0.4310 alpha=1.51437800841 q=0.4872596415 psi=1.665607732
kappa=-0.4315 alpha=1.5154981141 q=0.4871631456 psi=1.664717287
kappa=-0.4320 alpha=1.51661921791 q=0.4870666313 psi=1.66382719
kappa=-0.4325 alpha=1.51774132086 q=0.4869700987 psi=1.662937439
kappa=-0.4330 alpha=1.51886442397 q=0.4868735479 psi=1.662048036
kappa=-0.4335 alpha=1.51998852827 q=0.4867769787 psi=1.66115898
kappa=-0.4340 alpha=1.52111363477 q=0.4866803913 psi=1.66027027
kappa=-0.4345 alpha=1.5222397445 q=0.4865837855 psi=1.659381907
kappa=-0.4350 alpha=1.52336685847 q=0.4864871615 psi=1.65849389
kappa=-0.4355 alpha=1.52449497771 q=0.4863905191 psi=1.65760622
kappa=-0.4360 alpha=1.52562410326 q=0.4862938584 psi=1.656718896
kappa=-0.4365 alpha=1.52675423612 q=0.4861971794 psi=1.655831918
kappa=-0.4370 alpha=1.52788537734 q=0.4861004821 psi=1.654945286
kappa=-0.4375 alpha=1.52901752794 q=0.4860037665 psi=1.654059001
kappa=-0.4380 alpha=1.53015068895 q=0.4859070325 psi=1.65317306
kappa=-0.4385 alpha=1.5312848614 q=0.4858102802 psi=1.652287466
kappa=-0.4390 alpha=1.53242004632 q=0.4857135096 psi=1.651402217
kappa=-0.4395 alpha=1.53355624475 q=0.4856167207 psi=1.650517314
kappa=-0.4400 alpha=1.53469345773 q=0.4855199134 psi=1.649632756
kappa=-0.4405 alpha=1.53583168628 q=0.4854230878 psi=1.648748543
kappa=-0.4410 alpha=1.53697093145 q=0.4853262439 psi=1.647864675
kappa=-0.4415 alpha=1.53811119427 q=0.4852293816 psi=1.646981152
kappa=-0.4420 alpha=1.53925247579 q=0.4851325009 psi=1.646097974
kappa=-0.4425 alpha=1.54039477704 q=0.485035602 psi=1.645215141
kappa=-0.4430 alpha=1.54153809906 q=0.4849386846 psi=1.644332652
kappa=-0.4435 alpha=1.54268244291 q=0.484841749 psi=1.643450508
kappa=-0.4440 alpha=1.54382780961 q=0.4847447949 psi=1.642568708
kappa=-0.4445 alpha=1.54497420023 q=0.4846478226 psi=1.641687253
kappa=-0.4450 alpha=1.5461216158 q=0.4845508318 psi=1.640806141
kappa=-0.4455 alpha=1.54727005738 q=0.4844538227 psi=1.639925374
kappa=-0.4460 alpha=1.548419526 q=0.4843567952 psi=1.63904495
kappa=-0.4465 alpha=1.54957002273 q=0.4842597494 psi=1.638164871
kappa=-0.4470 alpha=1.55072154861 q=0.4841626852 psi=1.637285135
kappa=-0.4475 alpha=1.5518741047 q=0.4840656026 psi=1.636405742
kappa=-0.4480 alpha=1.55302769205 q=0.4839685017 psi=1.635526693
kappa=-0.4485 alpha=1.55418231171 q=0.4838713823 psi=1.634647987
kappa=-0.4490 alpha=1.55533796474 q=0.4837742446 psi=1.633769625
kappa=-0.4495 alpha=1.5564946522 q=0.4836770885 psi=1.632891605
kappa=-0.4500 alpha=1.55765237515 q=0.483579914 psi=1.632013929
wrote 200 slabs -> slabs_neg5_full.json
