kappa,alpha,q,psi,gamma,kb,ElogPsi,PRprime,amp_works,lambda0,z0,fp_iters,newton_iters,dG_dq,dG_dpsi,alpha_annealed,alpha_sph,seconds
-0.55,1.811530204798363795932946,0.4637720820891635215535308,1.463217210356332148816423,0.9299885258001419109960382,-0.751083080678346906465218,-0.4455560370789248955184663,0.6582153223836271954315923,0.5921805878987452416392262,-0.1273335573147638546452971,-0.5271999938803158212152766,9,5,-2.317278909086722178396953e-20,4.930380657631323783823304e-22,2.014230783739706427401702,5.246139094222531024637545,72.0
-0.6,1.956981945255197540778437,0.4535863818784926811024746,1.383681141408489707737396,0.9111067124957445028821238,-0.8116905561602458139183773,-0.4087369195652517979892373,0.650018723889471297537344,0.5952545736013626108166432,-0.1231069609647305297036641,-0.5155015022917395679513675,9,5,-2.169367489357782464882254e-20,-4.930380657631323783823304e-22,2.162341574687877537872394,5.778694100767594642204935,62.8
-0.65,2.11661476224250079693384,0.4432101661156116193625749,1.307245868034506654906162,0.8921938148399618527304815,-0.8710993869061922643197061,-0.374613417812624764091061,0.6417748832116720717990399,0.5980319838611648752232243,-0.1191542858538820970404563,-0.5041656018384505788532124,9,5,-1.972152263052529513529321e-20,-4.930380657631323783823304e-22,2.324447674452308606659539,6.375353034618749530461422,57.6
-0.7,2.292024639386733369527566,0.4326419294079606383981225,1.23381204552088311109189,0.87324414985891612580735,-0.9293288541623908766214184,-0.3430157517624425116371333,0.6334899816271551763862036,0.6004888875783152953635409,-0.1154776704985555565211905,-0.4932251881246461149288507,9,5,-1.824240843323589800014622e-20,0.0,2.502120123128309412611385,7.044828929221311509706842,56.0
-0.75,2.485009763141745486089691,0.4218806674126081501246854,1.163285167531169757299487,0.8542521212123337233791513,-0.9863987587229221497642386,-0.3137828549390592872830303,0.6251699532645675973230169,0.6025998021616367426621991,-0.1120793169272675369908768,-0.4827119562134370180928045,9,5,-1.577721810442023610823457e-20,9.860761315262647567646607e-22,2.697130909133842372948527,7.797139393394146919352077,50.6
-0.8,2.697598923076550329636519,0.4109259857559983378314448,1.095575465922961633801959,0.8352122783886124876259061,-1.042329560159118849500158,-0.286762049134177273800918,0.6168203376108730571749826,0.6043375944028907156033141,-0.1089616368500638292538898,-0.4726564393758759852204321,9,5,-1.528418003865710372985224e-20,0.0,2.911481511118849608748216,8.643818466623468502981577,49.2
-0.85,2.932084286777423324409135,0.3997782261066294205502808,1.030597812732996092003224,0.8161193881362985640305969,-1.097142535515529852848217,-0.2618087251712727813207087,0.6084461037334813275157161,0.6056733829760588643579601,-0.1061274081528534502709013,-0.4630880693313379996567392,9,5,-1.380506584136770659470525e-20,9.860761315262647567646607e-22,3.147435864284986388099914,9.598165385092480246974833,45.8
-0.9,3.191059281810779281787074,0.3884386113678104474062828,0.9682716230417978781419029,0.7969685202691881696338184,-1.150859959362149374387067,-0.2387860299107758858441098,0.6000514424158337322639028,0.606576446135054002054546,-0.1035799423090322468445114,-0.4540352544961385010680033,9,5,-1.183291357831517708117593e-20,0.0,3.407558490475448247775736,10.67553710210915929102044,39.0
-0.95,3.4774624493055686676718,0.3769094119268700791757198,0.9085207569316017626688766,0.7777551502321716343097028,-1.203505307020157161800742,-0.2175645596419195167936047,0.5916395223706387678454566,0.6070141394754552961359695,-0.101323263402663332162458,-0.4455254725231615768876736,9,5,-1.084683744678891232441127e-20,0.0,3.694758663382383745826208,11.89369274847100746708589,63.0
-1.0,3.794628291219359054896517,0.3651941347353289296148126,0.8512734181388665157900513,0.7584752810409951786050414,-1.255103482566364573238081,-0.1980220599938755943416235,0.583212206914029414417902,0.6069518302607523224427251,-0.09936229948106912206594659,-0.4375853731299668485377197,9,5,-1.035379938102577994602894e-20,0.0,4.01234163720294848821984,13.27319983702451196183805,41.3
-0.075,0.9193262169764276292993872,0.5514972701496696882203242,2.395521476809545944335349,1.108891713642363365626267,-0.1119898641989038297397079,-0.9679941055373582707200609,0.7325534369493454420657774,0.5519843579439112584784701,-0.1805795282584436596056502,-0.6494599778063319437393375,9,4,-5.5220263365470826378821e-20,0.0,1.091431396636450535262936,2.257769180127488591164161,132.7
